t,type,direction,price,mid,pnl,is_win
113,informed,buy,98.8335918863367,98.7235918863367,0.10999999999999943,True
114,noise,sell,98.88991609758524,98.96991609758524,0.0799999999999983,True
115,noise,sell,98.86068000110714,98.95068000110713,0.0899999999999892,True
116,noise,sell,98.8808347353405,98.9808347353405,0.09999999999999432,True
117,noise,buy,99.06736355836996,98.97736355836997,0.0899999999999892,True
118,noise,sell,98.76049575460803,98.86049575460802,0.09999999999999432,True
119,noise,sell,98.86477803605953,98.97477803605953,0.10999999999999943,True
120,noise,sell,98.92997133932822,99.04997133932821,0.11999999999999034,True
121,noise,buy,99.1990745340325,99.12907453403251,0.06999999999999318,True
122,noise,buy,99.11813578855303,99.03813578855303,0.0799999999999983,True
123,noise,buy,99.26841521964663,99.17841521964664,0.0899999999999892,True
124,noise,buy,99.1382301133674,99.0382301133674,0.09999999999999432,True
125,noise,sell,99.00691582274744,99.09691582274743,0.0899999999999892,True
126,noise,sell,99.21596138532844,99.31596138532844,0.09999999999999432,True
128,noise,sell,99.0502779798551,99.1602779798551,0.10999999999999943,True
129,noise,buy,99.25024311636386,99.17024311636386,0.0799999999999983,True
130,noise,buy,99.20989555095224,99.11989555095225,0.0899999999999892,True
132,noise,sell,98.87168550532624,98.97168550532623,0.09999999999999432,True
133,noise,buy,98.95545513395362,98.86545513395363,0.0899999999999892,True
134,noise,buy,99.01281437701715,98.91281437701716,0.09999999999999432,True
135,noise,sell,98.73087195359379,98.82087195359378,0.0899999999999892,True
136,noise,sell,98.87586539409554,98.97586539409554,0.09999999999999432,True
139,noise,buy,99.0366856349783,98.94668563497831,0.0899999999999892,True
140,noise,buy,98.9235992033349,98.82359920333491,0.09999999999999432,True
141,informed,buy,98.95634519679533,98.84634519679533,0.10999999999999943,True
142,noise,buy,99.09705947222356,98.97705947222357,0.11999999999999034,True
143,noise,sell,98.74631114876746,98.81631114876745,0.06999999999999318,True
144,noise,sell,98.75477453462068,98.83477453462068,0.0799999999999983,True
145,noise,sell,98.77076281404553,98.86076281404551,0.0899999999999892,True
146,noise,buy,99.03894510122323,98.93894510122324,0.09999999999999432,True
147,noise,sell,98.72525003013544,98.81525003013543,0.0899999999999892,True
150,noise,sell,98.66509699271201,98.765096992712,0.09999999999999432,True
151,noise,buy,98.88014627774658,98.79014627774659,0.0899999999999892,True
154,noise,sell,98.68001399625454,98.78001399625454,0.09999999999999432,True
156,informed,buy,98.82788610178176,98.73788610178177,0.0899999999999892,True
157,noise,sell,98.82446355289625,98.92446355289624,0.09999999999999432,True
158,noise,sell,98.86184684498743,98.97184684498743,0.10999999999999943,True
159,noise,buy,98.93271649526716,98.85271649526716,0.0799999999999983,True
160,noise,sell,98.80837185613055,98.91837185613055,0.10999999999999943,True
161,noise,sell,98.70090368910783,98.82090368910782,0.11999999999999034,True
163,noise,buy,99.0854717073828,99.0154717073828,0.06999999999999318,True
164,noise,buy,99.01340347554763,98.93340347554764,0.0799999999999983,True
165,noise,buy,99.11974108847205,99.02974108847206,0.0899999999999892,True
166,noise,buy,99.1710191811657,99.07101918116571,0.09999999999999432,True
168,noise,buy,99.45290449543054,99.34290449543055,0.10999999999999943,True
169,noise,buy,99.43836568383026,99.31836568383027,0.11999999999999034,True
170,noise,sell,99.17299206739452,99.24299206739451,0.06999999999999318,True
171,noise,sell,99.07404062443196,99.15404062443196,0.0799999999999983,True
172,noise,sell,98.98245959593542,99.07245959593541,0.0899999999999892,True
173,noise,buy,99.164749424994,99.064749424994,0.09999999999999432,True
174,noise,buy,99.20886462247567,99.09886462247567,0.10999999999999943,True
175,noise,buy,99.24653370240867,99.12653370240868,0.11999999999999034,True
176,noise,sell,99.13925202731228,99.20925202731227,0.06999999999999318,True
177,noise,sell,99.13055221650006,99.21055221650006,0.0799999999999983,True
179,noise,sell,99.23943994089201,99.329439940892,0.0899999999999892,True
180,noise,sell,99.50145685755096,99.60145685755096,0.09999999999999432,True
181,noise,sell,99.55402359232745,99.66402359232745,0.10999999999999943,True
182,noise,buy,99.65830783668582,99.57830783668582,0.0799999999999983,True
183,noise,sell,99.36121858687972,99.47121858687971,0.10999999999999943,True
184,noise,sell,99.39946582840405,99.51946582840404,0.11999999999999034,True
185,informed,buy,99.56711954987145,99.49711954987146,0.06999999999999318,True
186,noise,buy,99.64851959928066,99.56851959928066,0.0799999999999983,True
187,noise,sell,99.50584336173802,99.61584336173802,0.10999999999999943,True
188,noise,sell,99.48856047047234,99.60856047047233,0.11999999999999034,True
190,noise,buy,99.4423963761969,99.3723963761969,0.06999999999999318,True
191,noise,sell,99.2077448809902,99.3277448809902,0.11999999999999034,True
192,noise,sell,99.28338476042255,99.41338476042255,0.12999999999999545,True
193,noise,sell,99.29479413483557,99.43479413483557,0.14000000000000057,True
194,noise,sell,99.16022025696438,99.31022025696437,0.14999999999999147,True
196,noise,sell,99.20607008752238,99.36607008752237,0.1599999999999966,True
197,noise,sell,99.10768434390228,99.27768434390227,0.1699999999999875,True
198,noise,buy,99.31305685449682,99.29305685449683,0.01999999999999602,True
199,noise,sell,99.12887772634144,99.29887772634143,0.1699999999999875,True
200,noise,buy,99.20458069655837,99.18458069655837,0.01999999999999602,True
201,noise,sell,99.05035943259321,99.2203594325932,0.1699999999999875,True
202,noise,sell,99.09643788523003,99.27643788523002,0.1799999999999926,True
203,noise,buy,99.39474300954754,99.38474300954755,0.009999999999990905,True
204,noise,buy,99.51012321475103,99.49012321475104,0.01999999999999602,True
205,noise,sell,99.18235627795534,99.35235627795532,0.1699999999999875,True
206,noise,sell,99.07857377396383,99.25857377396382,0.1799999999999926,True
207,noise,sell,99.12007730068468,99.31007730068468,0.18999999999999773,True
208,noise,buy,99.3614558957759,99.3614558957759,0.0,False
209,noise,sell,99.22296066440651,99.41296066440651,0.18999999999999773,True
210,informed,buy,99.79823381347198,99.79823381347198,0.0,False
211,informed,buy,99.86532286454128,99.8553228645413,0.009999999999990905,True
212,noise,sell,99.78887942855935,99.96887942855935,0.1799999999999926,True
213,noise,buy,100.07427960490865,100.06427960490866,0.009999999999990905,True
214,noise,sell,99.94941873003926,100.12941873003925,0.1799999999999926,True
215,noise,sell,99.90789180557522,100.09789180557522,0.18999999999999773,True
216,noise,sell,99.97378872762455,100.17378872762454,0.19999999999998863,True
217,noise,sell,99.8865062061708,100.09650620617079,0.20999999999999375,True
218,noise,sell,99.85282434549678,100.07282434549678,0.21999999999999886,True
219,noise,buy,99.99428799071387,100.02428799071387,-0.030000000000001137,False
220,noise,buy,100.01247540465249,100.0324754046525,-0.020000000000010232,False
221,noise,sell,100.05394126131986,100.26394126131986,0.20999999999999375,True
222,noise,sell,99.85721474206068,100.07721474206068,0.21999999999999886,True
223,noise,buy,100.11584076109813,100.14584076109813,-0.030000000000001137,False
224,noise,buy,99.96456917397916,99.98456917397917,-0.020000000000010232,False
225,noise,buy,99.92737598740023,99.93737598740023,-0.010000000000005116,False
226,noise,buy,100.04627104709697,100.04627104709697,0.0,False
227,noise,sell,99.86269904900651,100.0526990490065,0.18999999999999773,True
228,noise,sell,99.74492457121359,99.94492457121358,0.19999999999998863,True
229,noise,buy,99.86339420028757,99.87339420028758,-0.010000000000005116,False
230,noise,sell,99.74135397518106,99.94135397518104,0.19999999999998863,True
231,noise,buy,99.85831731200932,99.86831731200932,-0.010000000000005116,False
232,noise,sell,99.68996317096753,99.88996317096752,0.19999999999998863,True
235,noise,buy,100.03375472912985,100.04375472912986,-0.010000000000005116,False
236,noise,buy,100.10714663136166,100.10714663136166,0.0,False
237,noise,sell,99.7146323726959,99.9046323726959,0.18999999999999773,True
238,noise,buy,99.92327780417284,99.92327780417284,0.0,False
240,noise,sell,99.75234249117563,99.94234249117562,0.18999999999999773,True
241,noise,buy,99.86309041733236,99.86309041733236,0.0,False
242,noise,sell,99.66161677318567,99.85161677318567,0.18999999999999773,True
243,noise,sell,99.70211550108372,99.90211550108371,0.19999999999998863,True
244,noise,sell,99.77869102050073,99.98869102050072,0.20999999999999375,True
245,noise,sell,99.64866137979514,99.86866137979514,0.21999999999999886,True
246,noise,sell,99.60521125621106,99.83521125621105,0.22999999999998977,True
249,noise,sell,99.65892922586569,99.89892922586569,0.23999999999999488,True
250,noise,sell,99.68942739696178,99.93942739696178,0.25,True
251,noise,sell,99.55333900152829,99.81333900152828,0.2599999999999909,True
252,noise,sell,99.63512519623376,99.90512519623375,0.269999999999996,True
253,noise,buy,100.03734081593501,100.11734081593502,-0.0800000000000125,False
254,noise,sell,99.95058734199014,100.22058734199014,0.269999999999996,True
255,noise,buy,99.98865034539473,100.06865034539474,-0.0800000000000125,False
256,noise,buy,99.95022693810812,100.02022693810812,-0.07000000000000739,False
257,noise,buy,100.08691805302678,100.14691805302678,-0.060000000000002274,False
258,noise,buy,100.0261511064649,100.0761511064649,-0.05000000000001137,False
260,noise,buy,100.15799645462246,100.19799645462247,-0.04000000000000625,False
261,noise,buy,100.07530340746466,100.10530340746466,-0.030000000000001137,False
262,informed,sell,99.87935087185848,100.09935087185848,0.21999999999999886,True
263,noise,sell,99.54522413785158,99.77522413785157,0.22999999999998977,True
265,noise,buy,99.60752855857882,99.64752855857883,-0.04000000000000625,False
266,noise,sell,99.29275024038235,99.52275024038234,0.22999999999998977,True
267,noise,sell,99.4459913707755,99.6859913707755,0.23999999999999488,True
268,noise,buy,99.49297723297943,99.54297723297944,-0.05000000000001137,False
269,noise,sell,99.25897278430975,99.49897278430974,0.23999999999999488,True
270,noise,sell,99.26204684203836,99.51204684203836,0.25,True
271,noise,sell,99.39617417094497,99.65617417094496,0.2599999999999909,True
272,noise,sell,99.24258795582702,99.51258795582702,0.269999999999996,True
273,informed,buy,99.5489043310425,99.6289043310425,-0.0800000000000125,False
275,noise,sell,99.26177677203967,99.53177677203966,0.269999999999996,True
276,noise,buy,99.49798711946598,99.57798711946599,-0.0800000000000125,False
277,noise,sell,99.32789308902333,99.59789308902333,0.269999999999996,True
278,noise,buy,99.45787140130744,99.53787140130746,-0.0800000000000125,False
280,noise,buy,99.43632025012027,99.50632025012028,-0.07000000000000739,False
281,noise,buy,99.4576719846454,99.5176719846454,-0.060000000000002274,False
282,noise,buy,99.5338850520975,99.58388505209751,-0.05000000000001137,False
283,noise,buy,99.70248673371205,99.74248673371206,-0.04000000000000625,False
284,noise,sell,99.38870518382939,99.61870518382938,0.22999999999998977,True
286,noise,sell,99.39679974134276,99.63679974134276,0.23999999999999488,True
287,noise,buy,99.57162123183919,99.6216212318392,-0.05000000000001137,False
288,noise,buy,99.64045295248765,99.68045295248766,-0.04000000000000625,False
291,noise,buy,99.59546996224337,99.62546996224337,-0.030000000000001137,False
292,noise,sell,99.35616986877749,99.57616986877748,0.21999999999999886,True
293,noise,sell,99.28723339308307,99.51723339308306,0.22999999999998977,True
294,noise,sell,99.36219360278517,99.60219360278516,0.23999999999999488,True
296,noise,sell,99.3186041918556,99.5686041918556,0.25,True
297,noise,sell,99.39856417939893,99.65856417939892,0.2599999999999909,True
